courseId,schoolYearId,teacherId1,teacherId2,teacherId3,Grade,Section,CourseName
230,14,26,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
231,14,26,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
232,14,20,11,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
233,14,20,11,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
234,14,9,,,8,A,ថ្នាក់ ទី​ 8A ព្រឹក
235,14,9,,,8,A,ថ្នាក់ ទី​ 8A ល្ងាច
236,14,17,,,9,A,ថ្នាក់ ទី​ 9A ព្រឹក
237,14,17,,,9,A,ថ្នាក់ ទី​ 9A ល្ងាច
238,14,11,21,,10,A,ថ្នាក់ ទី​ 10A ព្រឹក
239,14,11,21,,10,A,ថ្នាក់ ទី​ 10A ល្ងាច
240,14,11,21,,11,A,ថ្នាក់ ទី​ 11A ព្រឹក
241,14,11,21,,11,A,ថ្នាក់ ទី​ 11A ល្ងាច
242,14,11,21,,12,A,ថ្នាក់ ទី​ 12A ព្រឹក
243,14,11,21,,12,A,ថ្នាក់ ទី​ 12A ល្ងាច
244,15,27,13,,1,A,ថ្នាក់ ទី​ 1A ព្រឹក
245,15,27,13,,1,A,ថ្នាក់ ទី​ 1A ល្ងាច
246,15,16,,,2,A,ថ្នាក់ ទី​ 2A ព្រឹក
247,15,16,,,2,A,ថ្នាក់ ទី​ 2A ល្ងាច
248,15,18,,,3,A,ថ្នាក់ ទី​ 3A ព្រឹក
249,15,18,,,3,A,ថ្នាក់ ទី​ 3A ល្ងាច
250,15,12,,,4,A,ថ្នាក់ ទី​ 4A ព្រឹក
251,15,12,,,4,A,ថ្នាក់ ទី​ 4A ល្ងាច
252,15,24,,,5,A,ថ្នាក់ ទី​ 5A ព្រឹក
253,15,24,,,5,A,ថ្នាក់ ទី​ 5A ល្ងាច
254,15,26,,,6,A,ថ្នាក់ ទី​ 6A ព្រឹក
255,15,26,,,6,A,ថ្នាក់ ទី​ 6A ល្ងាច
256,15,20,11,,7,A,ថ្នាក់ ទី​ 7A ព្រឹក
257,15,20,11,,7,A,ថ្នាក់ ទី​ 7A ល្ងាច
258,15,9,,,8,A,ថ្នាក់ ទី​ 8A ព្រឹក
259,15,9,,,8,A,ថ្នាក់ ទី​ 8A ល្ងាច
260,15,17,,,9,A,ថ្នាក់ ទី​ 9A ព្រឹក
261,15,17,,,9,A,ថ្នាក់ ទី​ 9A ល្ងាច
262,15,11,21,,10,A,ថ្នាក់ ទី​ 10A ព្រឹក
263,15,11,21,,10,A,ថ្នាក់ ទី​ 10A ល្ងាច
264,15,11,21,,11,A,ថ្នាក់ ទី​ 11A ព្រឹក
265,15,11,21,,11,A,ថ្នាក់ ទី​ 11A ល្ងាច
266,15,11,21,,12,A,ថ្នាក់ ទី​ 12A ព្រឹក
267,15,11,21,,12,A,ថ្នាក់ ទី​ 12A ល្ងាច
